,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
22Rv1,run_22Rv1.2,22Rv1,http://www.ebi.ac.uk/efo/EFO_0002095,prostate carcinoma,http://www.ebi.ac.uk/efo/EFO_0001663,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,22Rv1,http://www.ebi.ac.uk/efo/EFO_0002095,prostate carcinoma,http://www.ebi.ac.uk/efo/EFO_0001663,Yes,other
23132/87,run_23132_87.2,23132/87,http://www.ebi.ac.uk/efo/EFO_0006528,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,23132/87,http://www.ebi.ac.uk/efo/EFO_0006528,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
253J,run_253J.1,253J,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,253J,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
253J-BV,run_253J_BV.1,253J-BV,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,253J-BV,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
42-MG-BA,run_42_MG_BA.1,42-MG-BA,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,42-MG-BA,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
5637,run_5637.2,5637,http://www.ebi.ac.uk/efo/EFO_0002096,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,5637,http://www.ebi.ac.uk/efo/EFO_0002096,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
59M,run_59M.1,59M,http://www.ebi.ac.uk/efo/EFO_0006358,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,59M,http://www.ebi.ac.uk/efo/EFO_0006358,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
639-V,run_639_V.1,639-V,http://www.ebi.ac.uk/efo/EFO_0002097,ureter urothelial carcinoma,http://www.ebi.ac.uk/efo/EFO_1001973,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,639-V,http://www.ebi.ac.uk/efo/EFO_0002097,ureter urothelial carcinoma,http://www.ebi.ac.uk/efo/EFO_1001973,Yes,other
647-V,run_647_V.1,647-V,http://www.ebi.ac.uk/efo/EFO_0002098,bladder transitional cell carcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,647-V,http://www.ebi.ac.uk/efo/EFO_0002098,bladder transitional cell carcinoma,NA,Yes,other
697,run_697.2,697,NA,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,697,NA,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,Yes,other
