Gene,KKU156,KKU213,KKU214,HuCCA1,RBE,KKK138,HuCCT1,HuH28,KKK068,KKK131,KKU055,KKU100,SSP25,TFK1,YSCCC
A1BG-AS1,0.118194008,3.147135916,1.297722727,3.252154216,4.219591607,5.1689614,2.781135781,4.114952617,5.253925821,3.237455512,5.510026822,6.416648397,1.412148944,2.601930017,4.953977054
A1CF,0.624381414,0.491364699,0.022440644,0.592921606,2.041687956,1.949386151,0.280268511,0.140518186,0.293452625,0.869674802,0.283149127,0.156256805,0.759140135,1.015345948,0.30811789
A2M,0.63053921,0.579833064,0.069323073,0.54038436,0.069323073,4.862834146,0.453420683,0.485867897,2.314077072,0.789751535,2.045081686,3.798934225,2.429275982,1.680344476,0.069323073
A4GALT,0.949702079,1.751427208,1.997277239,1.729143091,0.178400426,3.669478364,1.795010058,2.917202159,1.131322109,1.758850974,0.178400426,3.113143527,0.779392796,0.178400426,1.247048212
AAAS,3.151060257,1.925845179,2.917527706,2.370789163,2.721028547,2.848105716,2.879823949,2.693538205,2.61634315,2.893169346,3.008641429,2.713096728,2.05760263,1.819098287,2.066642277
AACS,3.667485829,2.517900154,2.740391364,1.961033429,3.487793092,3.283731153,3.686659271,0.462348898,2.736693457,3.701127354,3.874994274,2.059772247,2.738382685,3.427748818,1.029639026
AADAC,4.471407937,2.00173647,2.538631606,2.775235085,0.699954018,2.4011309,0.323531123,0.798068024,2.390244058,2.79947802,0.646601892,4.329767228,2.175834325,3.257741223,0.323531123
AADACL2-AS1,6.77373335,5.718198531,6.38013545,6.838090791,0.144133082,4.688454417,0.144133082,0.144133082,6.731212153,3.351888951,0.144133082,6.229261023,6.694651904,6.175553343,0.144133082
AADAT,0.253498638,2.080490557,1.144919547,0.962237271,2.149852083,2.027210661,0.660664716,1.024059855,2.015101955,2.000525364,2.368807608,2.769220063,1.311088127,0.430180023,0.716131865
AAED1,4.508198448,4.157982841,1.639515233,4.185831391,1.67965961,2.59610419,3.05309249,2.735733187,3.431820567,1.757626745,4.157986768,3.107702548,3.714320765,1.295614499,1.718351253
AAGAB,4.217311944,4.554316028,3.84873909,4.811971055,3.888621752,3.745146367,4.403705712,3.216295603,4.183768027,4.549073298,4.216460045,4.738176622,4.284103429,5.234757689,4.31897696
AAK1,1.667434548,1.758628837,2.14631404,1.338875946,1.377941877,1.152879708,1.246561402,0.816498536,1.649514802,1.85951297,0.740384092,1.501652359,1.130027443,0.596319517,1.847553744
AAMDC,3.870114242,3.646290169,4.177604129,3.545577923,2.534842547,5.502415888,5.117904667,6.830119432,4.216418852,5.719047642,2.816312542,5.606621469,4.36903951,3.412953657,5.127671938
AAMP,5.099159974,4.988380844,4.737459936,2.971075987,4.04911326,4.59739061,4.889046262,4.746669135,5.21481972,3.657562983,4.047897947,4.708414407,4.527518584,2.831944089,2.710410734
AANAT,5.639307389,3.082252085,4.191328056,1.591172358,5.019375369,1.787091018,5.885449521,0.779705833,2.817165658,0.606261651,1.748640275,0.093456223,1.688021434,3.913399705,0.796702955
AAR2,2.48982825,2.643631281,1.944021969,2.076043864,1.317361201,1.869736958,1.847104756,2.644634401,1.776788733,1.650232884,1.436250606,2.877548167,1.577492424,1.673279428,2.92906793
AARS,6.068268731,5.595107419,5.58873361,6.16868007,6.353963271,5.845318181,4.875033745,5.349287626,4.837686306,4.185021642,5.059719867,6.590391515,4.640387084,4.423823928,6.195337646
AARS2,1.478035003,1.760496497,1.641859728,0.871155046,2.204606786,2.390492731,2.019204124,1.462617038,2.103230719,3.004545144,2.445137856,2.194229589,1.230415919,1.025434175,1.529796384
AARSD1,5.874663648,5.255688772,5.247770173,3.57755893,5.253116813,3.961713145,4.505703107,2.692234559,3.922138071,4.649608066,3.009235305,3.85196972,3.496430455,2.382246093,2.233508879
AASDH,1.589492009,1.468254269,1.715712586,3.041419752,0.963580059,2.800131068,1.913329492,1.810752435,1.676218074,1.966368522,2.751426393,2.860177231,2.897074732,1.536486804,2.258000091
AASDHPPT,4.362196972,1.553756852,4.030529649,1.581353585,1.605228583,3.381153433,2.804777739,2.70749568,2.84261234,3.829733294,3.103201574,3.425302946,2.464823936,2.268733089,2.858144404
AASS,2.841234359,1.245994122,2.317054111,3.428516331,2.08510597,1.552850889,1.679572972,1.127090195,0.697658353,1.476502765,2.616938477,1.289407402,3.017588377,0.53197954,0.306757632
AATF,6.528061014,6.631989194,6.665207506,5.833787734,5.716410442,5.062641017,6.355531815,5.34224962,5.505420701,5.82959644,5.882078501,5.989939172,5.637731922,5.109546236,5.082707703
AATK,1.271956755,1.184258583,1.858780278,2.501098222,1.342688061,2.207821287,2.713392442,3.163030345,2.359864685,1.729479765,1.041828611,0.753457639,3.527599093,3.419403972,3.508551203
ABAT,0.762749209,0.568228518,1.483102511,0.661962776,0.810888964,1.315606247,0.436304621,0.561713753,0.094456873,0.365540252,0.824521982,0.094456873,1.380599581,0.886622421,2.667301511
