Batch,cellline,agent,type,group,Subtype1,Subtype2,GR50,log10GR50,median,SubMedian_Log10GR50,Order
B54,HuCCA1,Cisplatin,Chemotherapeutic drug,CCA Subgroup1,Alkylating_agent,Alkylating_agent,0.789269607,-0.102774621,0.113322651,-0.216097271,8
B54,HuCCT1,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,2.762731951,0.44133875,0.113322651,0.3280161,8
B54,HUH28,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,0.522225513,-0.282141915,0.113322651,-0.395464565,8
B54,KKKD068,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,3.526409163,0.547332701,0.113322651,0.434010051,8
B54,KKKD131,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,3.633526803,0.560328368,0.113322651,0.447005718,8
B54,KKKD138,Cisplatin,Chemotherapeutic drug,CCA Subgroup1,Alkylating_agent,Alkylating_agent,0.382854281,-0.416966492,0.113322651,-0.530289143,8
B54,KKU055,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,0.858833974,-0.066090784,0.113322651,-0.179413435,8
B54,KKU100,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,0.279850842,-0.553073382,0.113322651,-0.666396033,8
B54,KKU156,Cisplatin,Chemotherapeutic drug,CCA Subgroup1,Alkylating_agent,Alkylating_agent,2.976682106,0.473732457,0.113322651,0.360409806,8
B54,KKU213,Cisplatin,Chemotherapeutic drug,CCA Subgroup1,Alkylating_agent,Alkylating_agent,3.307704855,0.519526751,0.113322651,0.4062041,8
B54,KKU214,Cisplatin,Chemotherapeutic drug,CCA Subgroup1,Alkylating_agent,Alkylating_agent,3.84242854,0.584605799,0.113322651,0.471283149,8
B54,RBE,Cisplatin,Chemotherapeutic drug,CCA Subgroup1,Alkylating_agent,Alkylating_agent,1.298143343,0.113322651,0.113322651,0,8
B54,SSP25,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,0.971699208,-0.012468151,0.113322651,-0.125790802,8
B54,TFK1,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,1.46674778,0.16635544,0.113322651,0.053032789,8
B54,YSCCC,Cisplatin,Chemotherapeutic drug,CCA Subgroup2,Alkylating_agent,Alkylating_agent,1.138081518,0.056173371,0.113322651,-0.05714928,8
NA,MMNK1,Cisplatin,Chemotherapeutic drug,Cholangiocyte,Alkylating_agent,Alkylating_agent,0.798524068,-0.097711989,0.113322651,-0.21103464,8
