Batch,cellline,agent,type,Subtype1,Subtype2,GR50,GR_AOC,IC50,AUC
B45,HuCCA1,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.19573836,0.722095919,0.361669003,0.604057025
B45,HuCCT1,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.178457645,0.805677631,0.178873116,0.449796058
B45,HUH28,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.143924095,1.023833878,0.246026976,0.477849874
B45,KKU055,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.165202083,0.954147513,0.159490059,0.399434723
B45,KKU100,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.465890656,0.702182259,0.501718728,0.584681463
B45,KKU156,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.411680098,0.703707399,0.403960062,0.539343069
B45,KKU213,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.23950469,0.871743463,0.242487428,0.457773912
B45,KKU214,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.237899969,0.851467197,0.230973604,0.459921088
B45,KKKD068,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.274065981,0.656059942,0.341710123,0.582640142
B45,KKKD131,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.266152391,0.826081796,0.288907726,0.51002885
B45,KKKD138,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.164861941,0.857039412,0.200602621,0.484528131
B45,RBE,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.206069011,0.838343156,0.233775352,0.469863593
B45,SSP25,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.204495365,0.823902662,0.191439986,0.441635893
B45,TFK1,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.379439961,0.555297004,0.440730235,0.611894494
B45,YSCCC,A443654,Targeted drug,PI3K_signaling,PI3K_signaling_AKT,0.519109827,0.667225026,0.681975076,0.623694678
B56,HuCCA1,Abemaciclib,Targeted drug,CDK,CDK4_6,0.660603726,0.375050636,4.32972562,0.747075961
B56,HuCCT1,Abemaciclib,Targeted drug,CDK,CDK4_6,0.27418224,0.608835298,0.347751489,0.518229674
B56,HUH28,Abemaciclib,Targeted drug,CDK,CDK4_6,0.525092214,0.687540149,1.590295428,0.715105282
B56,KKU055,Abemaciclib,Targeted drug,CDK,CDK4_6,2.53841647,0.32089802,1.133587321,0.606986178
B56,KKU100,Abemaciclib,Targeted drug,CDK,CDK4_6,0.546421331,0.401005116,10,0.733200153
B56,KKU156,Abemaciclib,Targeted drug,CDK,CDK4_6,0.300590592,0.563000825,0.198196799,0.453715946
B56,KKU213,Abemaciclib,Targeted drug,CDK,CDK4_6,1.181004252,0.346395337,1.019561302,0.652803626
B56,KKU214,Abemaciclib,Targeted drug,CDK,CDK4_6,0.699153592,0.377867259,0.784483068,0.653847706
B56,KKKD068,Abemaciclib,Targeted drug,CDK,CDK4_6,1.081650497,0.376753005,4.361258971,0.721632603
B56,KKKD131,Abemaciclib,Targeted drug,CDK,CDK4_6,0.244998916,0.513713637,0.420188864,0.565646215
B56,KKKD138,Abemaciclib,Targeted drug,CDK,CDK4_6,0.18586024,0.562801689,1.940278002,0.667240935
B56,RBE,Abemaciclib,Targeted drug,CDK,CDK4_6,0.162218664,0.602634339,0.188713527,0.487522862
B56,SSP25,Abemaciclib,Targeted drug,CDK,CDK4_6,0.391422586,0.511345645,0.388623192,0.549502076
B56,TFK1,Abemaciclib,Targeted drug,CDK,CDK4_6,0.636918512,0.401958492,1.067417237,0.688451256
B56,YSCCC,Abemaciclib,Targeted drug,CDK,CDK4_6,0.402731787,0.448140654,1.409561487,0.686973403
B47,HuCCA1,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,0.043537485,0.82122649,0.113479283,0.437019349
B47,HuCCT1,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,2.082009487,0.357601659,1.986895467,0.719189632
B47,HUH28,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,0.998526697,0.508666559,2.57089233,0.757311839
B47,KKU055,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,1.65733253,0.404625094,1.466155679,0.708365796
B47,KKU100,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,3.09596904,0.261810744,3.144018461,0.767052322
B47,KKU156,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,1.125456928,0.482272457,0.516114239,0.542943498
B47,KKU213,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,1.30759028,0.420485059,0.672771817,0.584567129
B47,KKU214,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,0.86464869,0.471877539,0.436177285,0.540900589
B47,KKKD068,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,1.732585118,0.339257127,1.856654674,0.756165456
B47,KKKD131,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,2.746876417,0.231366256,2.855657001,0.855908547
B47,KKKD138,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,1.619615968,0.414949124,1.531542752,0.709789256
B47,RBE,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,1.818702668,0.325454502,2.139286206,0.750449487
B47,SSP25,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,2.085212779,0.315921492,2.086872476,0.678570137
B47,TFK1,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,4.100138328,0.216456833,3.049509166,0.750694985
B47,YSCCC,Afatinib,Targeted drug,RTK_signaling_EGFR,RTK_signaling_EGFR,0.142502278,0.719512677,0.435675481,0.533214878
B29,HuCCA1,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.083089796,10,1.05761071
B29,HuCCT1,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.014865372,10,1.017835413
B29,HUH28,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,0.045473001,10,0.983497402
B29,KKU055,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.025261121,10,1.037545876
B29,KKU100,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,0.051149009,10,0.938898677
B29,KKU156,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.098101667,10,1.172255596
B29,KKU213,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.023477017,10,1.041574365
B29,KKU214,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.099657813,10,1.127722383
B29,KKKD068,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.074117972,10,1.058136368
B29,KKKD131,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.012986768,10,1.012836649
B29,KKKD138,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.045847757,10,1.038191738
B29,RBE,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.023578334,10,1.027474187
B29,SSP25,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.04641768,10,1.04766624
B29,TFK1,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,-0.009522141,10,1.012526794
B29,YSCCC,AGI-6780,Targeted drug,Dehydrogenase,Dehydrogenase_IDH2,10,0.024894648,10,0.979154236
B46,HuCCA1,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,1.43672562,0.284025998,2.794546831,0.784399147
B46,HuCCT1,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,3.788524333,0.196494161,3.869809376,0.801792862
B46,HUH28,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,10,0.052541842,10,0.97403207
B46,KKU055,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,4.964509746,0.153128916,3.210226178,0.799355029
B46,KKU100,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,9.353330993,0.070758325,10,0.929563346
B46,KKU156,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,2.407641388,0.250687436,1.428480527,0.690743774
B46,KKU213,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,0.844842462,0.380929991,0.5833707,0.590493552
B46,KKU214,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,2.588184544,0.234708502,1.705314332,0.720071669
B46,KKKD068,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,8.26447017,0.085376216,9.85243206,0.917353934
B46,KKKD131,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,8.087225004,0.088416574,8.924284772,0.913876229
B46,KKKD138,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,2.324460712,0.217514454,2.208339664,0.790330335
B46,RBE,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,3.37302933,0.184076693,4.045369723,0.846513341
B46,SSP25,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,6.098240268,0.107812745,5.954281348,0.886872491
B46,TFK1,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,3.821958335,0.194899124,2.632085739,0.76795583
B46,YSCCC,Azacitidine,Targeted drug,Epigenetic,Epigenetic_DNMT,10,0.034430966,10,0.970297938
B51,HuCCA1,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,0.072661397,10,0.963180957
B51,HuCCT1,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,4.446457946,0.169686214,5.23908742,0.846667853
B51,HUH28,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,1.422665708,0.354502363,7.422085982,0.847124286
B51,KKU055,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,0.556322439,0.462175615,0.209310212,0.532427103
B51,KKU100,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,0.37172069,10,0.731600791
B51,KKU156,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,7.172278077,0.081513641,7.706528233,0.937016418
B51,KKU213,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,5.82928243,0.093489676,6.078227484,0.927372114
B51,KKU214,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,6.964954765,0.077650494,7.529878554,0.929575763
B51,KKKD068,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,5.61200833,0.092884759,7.563675593,0.933278647
B51,KKKD131,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,0.064168888,10,0.957279215
B51,KKKD138,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,0.80797659,0.439333337,1.743480169,0.673371419
B51,RBE,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,9.717399555,-0.027426645,10,1.029799316
