cellline,Proteins,Ligands,P_L,Replicate,AUC_Mean,AUC_Median
HUCCT1,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.011457149,0.015972167
KKU055,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.004468431,0.005402982
KKKD068,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.003461834,0.004157366
KKU100,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.010309946,0.011972151
KKKD131,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.03199974,0.032930713
KKKD138,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.003216348,0.007033126
KKU156,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.017361282,0.022570618
KKU213,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.014467866,0.020207455
KKU214,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.020517119,0.023539016
RBE,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.003756451,0.00595032
SSP25,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.005488975,0.008093359
HUCCT1,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.038608052,0.044639754
KKU055,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.002081929,0.001839076
KKKD068,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.030770888,0.035388554
KKU100,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.010518756,0.011218894
KKKD131,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.03199974,0.032930713
KKKD138,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.03731593,0.042563815
KKU156,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.001635308,0.002883113
KKU213,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.017735497,0.020844397
KKU214,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.014563114,0.015653335
RBE,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.016926018,0.018189288
SSP25,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.022582843,0.02393537
HUCCT1,FoxO3a,EGF,FoxO3a_EGF,1,0.009032876,0.01228921
KKU055,FoxO3a,EGF,FoxO3a_EGF,1,0.000881721,0.001011761
KKKD068,FoxO3a,EGF,FoxO3a_EGF,1,0.00273504,0.003351421
KKU100,FoxO3a,EGF,FoxO3a_EGF,1,0.005840777,0.007136879
KKKD131,FoxO3a,EGF,FoxO3a_EGF,1,0.005827198,0.011665059
KKKD138,FoxO3a,EGF,FoxO3a_EGF,1,0.008008773,0.010582219
KKU156,FoxO3a,EGF,FoxO3a_EGF,1,0.008930538,0.011099083
KKU213,FoxO3a,EGF,FoxO3a_EGF,1,0.011116825,0.014031201
KKU214,FoxO3a,EGF,FoxO3a_EGF,1,0.008941478,0.010176729
RBE,FoxO3a,EGF,FoxO3a_EGF,1,0.008747528,0.010699664
SSP25,FoxO3a,EGF,FoxO3a_EGF,1,0.008358432,0.011401588
HUCCT1,FoxO3a,EGF,FoxO3a_EGF,2,0.029939307,0.034601051
KKU055,FoxO3a,EGF,FoxO3a_EGF,2,0.001515634,0.001269663
KKKD068,FoxO3a,EGF,FoxO3a_EGF,2,0.019224869,0.022610543
KKU100,FoxO3a,EGF,FoxO3a_EGF,2,0.020851034,0.023416399
KKKD131,FoxO3a,EGF,FoxO3a_EGF,2,0.053415198,0.06207907
KKKD138,FoxO3a,EGF,FoxO3a_EGF,2,0.040996252,0.046441496
KKU156,FoxO3a,EGF,FoxO3a_EGF,2,0.050985836,0.058829593
KKU213,FoxO3a,EGF,FoxO3a_EGF,2,0.035818202,0.038730803
KKU214,FoxO3a,EGF,FoxO3a_EGF,2,0.018848531,0.021015565
RBE,FoxO3a,EGF,FoxO3a_EGF,2,0.016573827,0.0182618
SSP25,FoxO3a,EGF,FoxO3a_EGF,2,0.045993324,0.055336771
HUCCT1,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.001214125,0.001070597
KKU055,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.00040995,0.000843452
KKKD068,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.00115194,0.00133082
KKU100,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.002857892,0.003303653
KKKD131,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.010422473,0.009378628
KKKD138,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.00189353,0.002926374
KKU156,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0,0
