cell_line,agent,type,Subtype1,Subtype2,GR50,GRmax,GR_AOC,GEC50,Grinf,h_GR,r2_GR,pval_GR,flat_fit_GR,IC50,Emax,AUC,EC50,Einf,h,r2_IC,pval_IC,flat_fit_IC,MedianGR50,SubMedianGR50,MedianGR50,SubMedianGR50,MedianGRmax
HuCCA-1,Celastrol,Targeted drug,Proteosome,Proteosome,0.672982892,-0.997830611,0.695055367,0.856520665,-1,4.572289295,0.999032386,1.35E-13,NA,0.852265995,0.000978149,0.651655606,0.852265995,0,4.592197879,0.999044719,1.20E-13,NA,0.112069809,-0.284065785,0.112069809,-0.284065785,-0.99264263
HuCCT-1,Celastrol,Targeted drug,Proteosome,Proteosome,0.661940768,-0.972601008,0.694904767,0.856978494,-0.946992523,4.119450681,0.999637276,6.91E-16,NA,0.68122342,0.00011889,0.605287988,0.68122342,0,5,0.999295167,2.63E-14,NA,0.112069809,-0.291250679,0.112069809,-0.291250679,-0.99264263
HuH-28,Celastrol,Targeted drug,Proteosome,Proteosome,0.769471353,-0.996612313,0.66346767,1.046913226,-0.984519027,3.56128355,0.997013928,2.30E-11,NA,1.097326069,0.002816309,0.676384776,1.089925829,0.01146097,3.406403569,0.997171354,1.64E-11,NA,0.112069809,-0.225877353,0.112069809,-0.225877353,-0.99264263
KKU-055,Celastrol,Targeted drug,Proteosome,Proteosome,0.619593122,-0.913454471,0.70670282,0.757895297,-0.869244275,5,0.994973848,6.21E-11,NA,0.57493086,0.000427832,0.577115583,0.57493086,0,2.930009516,0.991737208,5.13E-10,NA,0.112069809,-0.319963221,0.112069809,-0.319963221,-0.99264263
KKU-100,Celastrol,Targeted drug,Proteosome,Proteosome,1.860832264,-0.999180602,0.417369738,2.346871597,-1,4.728717127,0.996016711,2.11E-11,NA,2.453006753,0.001210991,0.796783963,2.453006753,0,4.73770056,0.996830124,6.72E-12,NA,0.112069809,0.157637419,0.112069809,0.157637419,-0.99264263
KKU-156,Celastrol,Targeted drug,Proteosome,Proteosome,1.462369702,-0.976855123,0.452699105,1.821719183,-1,5,0.985423195,8.75E-09,NA,1.759151833,0.000303779,0.773245278,1.759151833,0,5,0.978260225,4.61E-08,NA,0.112069809,0.052987372,0.112069809,0.052987372,-0.99264263
KKU-213,Celastrol,Targeted drug,Proteosome,Proteosome,1.336342619,-1,0.513250982,1.664038137,-0.996864145,5,0.999811532,4.67E-17,NA,1.412438121,0,0.716922606,1.412438121,0,5,0.998843809,8.36E-14,NA,0.112069809,0.013848011,0.112069809,0.013848011,-0.99264263
KKU-214,Celastrol,Targeted drug,Proteosome,Proteosome,1.036533155,-0.992313337,0.583556947,1.367083144,-0.979024226,3.918694728,0.998788887,2.37E-13,NA,1.044172082,0.0000146,0.655360242,1.044172082,0,4.151434148,0.996064448,6.56E-11,NA,0.112069809,-0.096486611,0.112069809,-0.096486611,-0.99264263
KKK-D068,Celastrol,Targeted drug,Proteosome,Proteosome,1.44879703,-0.98660177,0.497269634,1.804028072,-0.99675472,5,0.997935207,9.25E-13,NA,1.660930227,0.000507656,0.733193526,1.660930227,0,5,0.995271071,3.82E-11,NA,0.112069809,0.048937738,0.112069809,0.048937738,-0.99264263
KKK-D131,Celastrol,Targeted drug,Proteosome,Proteosome,0.994334664,-0.998909684,0.584675023,1.327571626,-1,3.80315513,0.999782077,3.99E-17,NA,1.19287773,0.0000492,0.69056659,1.19287773,0,4.038754829,0.999529917,1.53E-15,NA,0.112069809,-0.114537229,0.112069809,-0.114537229,-0.99264263
KKK-D138,Celastrol,Targeted drug,Proteosome,Proteosome,1.601994972,-0.793649398,0.391980867,1.886955428,-0.618338136,4.920912781,0.983043054,1.08E-08,NA,1.768901184,0.019231019,0.753378925,1.72754562,0.055671053,5,0.992039478,3.78E-10,NA,0.112069809,0.09259134,0.112069809,0.09259134,-0.99264263
RBE,Celastrol,Targeted drug,Proteosome,Proteosome,0.626372585,-0.99264263,0.713401221,0.821665516,-0.963213528,3.971951578,0.998311705,4.05E-13,NA,0.682829548,0.0000515,0.604481589,0.682829548,0,4.342985398,0.99640268,3.48E-11,NA,0.112069809,-0.315237067,0.112069809,-0.315237067,-0.99264263
SSP-25,Celastrol,Targeted drug,Proteosome,Proteosome,1.647230657,-0.941305345,0.438219927,2.04176044,-0.96345208,5,0.994345675,1.20E-10,NA,1.823039094,0.00039763,0.757320907,1.823039094,0,5,0.981594244,1.57E-08,NA,0.112069809,0.104684608,0.112069809,0.104684608,-0.99264263
TFK-1,Celastrol,Targeted drug,Proteosome,Proteosome,2.348706872,-0.996113623,0.361665973,2.925856818,-1,5,0.997276457,3.09E-12,NA,2.722058803,0.000166873,0.808644356,2.722058803,0,5,0.997802339,1.11E-12,NA,0.112069809,0.25875901,0.112069809,0.25875901,-0.99264263
