Gene,Drug,test.ROC.AUC,Varimp.Score
ELF3,Subtype_1.2,0.8,83.41159317
IRF1,Subtype_1.2,0.8,95.486744
SYBU,Subtype_1.2,0.8,100
BTG2,Subtype_1.2,0.9,87.79055754
DCTPP1,Subtype_1.2,0.9,100
HSPB8,Subtype_1.2,0.9,88.99975243
NXT1,Subtype_1.2,0.9,88.99975243
PHLDA3,Subtype_1.2,0.9,88.99975243
PSMD7,Subtype_1.2,0.9,83.31626928
PUS1,Subtype_1.2,0.9,87.79055754
UPP1,Subtype_1.2,0.9,87.72206524
ZNF277,Subtype_1.2,0.9,87.79055754
ALDH3A2,Subtype_1.2,1,100
TPM2,Subtype_1.2,1,86.2126003
LSM7,Subtype_1.2,0.8,83.13387771
NADSYN1,Subtype_1.2,0.8,87.54938332
NCBP1,Subtype_1.2,0.8,100
PTGER4,Subtype_1.2,0.8,84.23267275
COX6C,Subtype_1.2,1,100
GADD45B,Subtype_1.2,1,88.28432514
TNFAIP2,Subtype_1.2,1,93.48703798
SATB1,Subtype_1.2,1,100
IL17RB,Subtype_1.2,0.8,100
LLGL2,Subtype_1.2,0.8,86.01125728
SUPV3L1,Subtype_1.2,0.8,94.56451812
VEGFC,Subtype_1.2,0.8,87.42695083
YWHAQ,Subtype_1.2,0.8,87.42695083
TOB1,Subtype_1.2,1,95.29304229
CAV1,Subtype_1.2,0.8,92.69978397
ITGB4,Subtype_1.2,0.8,90.2127958
JAG1,Subtype_1.2,0.8,92.24209371
MMP14,Subtype_1.2,0.8,91.4905375
TNFAIP8,Subtype_1.2,0.8,99.53458921
DHRS3,Subtype_1.2,1,81.19337114
NOTCH1,Subtype_1.2,1,81.19337114
PHLDA2,Subtype_1.2,1,87.13228445
PLAU,Subtype_1.2,1,81.19337114
PRKG2,Subtype_1.2,1,81.19337114
CYC1,Subtype_1.2,0.8,100
IER2,Subtype_1.2,0.8,88.72302672
IL4R,Subtype_1.2,0.8,81.29737575
SGCB,Subtype_1.2,0.8,80.02364014
TUFM,Subtype_1.2,0.8,81.72558906
KCNMB2,Subtype_1.2,0.8,85.48160588
PCDH7,Subtype_1.2,0.8,84.99854819
DUSP1,Subtype_1.2,0.8,93.91312328
IMPA2,Subtype_1.2,0.8,99.85618548
KCNN4,Subtype_1.2,0.8,100
RALGDS,Subtype_1.2,0.8,93.91312328
AKAP12,Subtype_1.2,0.8,97.96711855
CDKN1A,Subtype_1.2,0.8,98.47331497
HES1,Subtype_1.2,0.8,83.61877783
ISCU,Subtype_1.2,0.8,92.02378973
KLF4,Subtype_1.2,0.8,97.22701359
MDM2,Subtype_1.2,0.8,82.56223155
PSMA6,Subtype_1.2,0.8,84.61868639
PSMC4,Subtype_1.2,0.8,83.61877783
RHOD,Subtype_1.2,0.8,99.3893289
STOM,Subtype_1.2,0.8,93.39244914
TP53,Subtype_1.2,0.8,91.17384216
VEGFA,Subtype_1.2,0.8,98.57778965
COL4A1,Subtype_1.2,0.8,91.92643853
KRT15,Subtype_1.2,0.8,100
KRT17,Subtype_1.2,0.8,82.3920957
NMU,Subtype_1.2,0.8,81.31731055
RFC4,Subtype_1.2,0.8,98.47128966
TIMP1,Subtype_1.2,0.9,83.58737102
ATF3,Subtype_1.2,0.8,99.4008176
EGR1,Subtype_1.2,0.8,99.63688567
FOS,Subtype_1.2,0.8,86.21475415
JUNB,Subtype_1.2,0.8,100
DUSP5,Subtype_1.2,0.8,83.48365695
ACP1,Subtype_1.2,0.8,91.01129691
RPL18,Subtype_1.2,0.8,91.53417116
FBLN1,Subtype_1.2,0.9,91.49407644
IL15RA,Subtype_1.2,0.9,85.68112714
MYC,Subtype_1.2,0.9,85.03784808
KAZN,Subtype_1.2,1,100
CASP1,Subtype_1.2,0.8,86.68497451
CD9,Subtype_1.2,0.8,85.33678015
SLC3A2,Subtype_1.2,0.8,81.49293266
CBX3,Subtype_1.2,0.8,100
EXOSC7,Subtype_1.2,0.8,82.3920957
KCNK5,Subtype_1.2,0.8,83.46688085
PMEPA1,Subtype_1.2,0.8,96.22383629
RRAD,Subtype_1.2,0.8,90.95522401
TRIM29,Subtype_1.2,0.8,82.3920957
TSPAN1,Subtype_1.2,0.8,83.46688085
ITGB2,Subtype_1.2,0.9,80.8836436
MYL9,Subtype_1.2,0.9,94.11226159
SORD,Subtype_1.2,0.9,81.75208778
SDC1,Subtype_1.2,1,100
FGFR3,Subtype_1.2,0.8,87.91079135
FDXR,Subtype_1.2,1,91.42918812
FJX1,Subtype_1.2,1,83.11713486
KARS,Subtype_1.2,1,84.20137797
NOP2,Subtype_1.2,1,92.7353786
RAD23B,Subtype_1.2,1,90.84577754
RSL1D1,Subtype_1.2,1,82.03289175
RPLP0,Subtype_1.2,0.8,93.35516037
GOT2,Subtype_1.2,1,84.94637194
PLK1,Subtype_1.2,1,89.50559238
SIK1,Subtype_1.2,1,81.31731055
SNRPD2,Subtype_1.2,1,99.36715114
IMP4,Subtype_1.2,1,88.73808872
RCL1,Subtype_1.2,1,81.1039698
RPL34,Subtype_1.2,1,85.98369436
G3BP1,Subtype_1.2,0.8,85.38480183
JAG2,Subtype_1.2,0.8,83.35212556
NCBP2,Subtype_1.2,0.8,94.63090668
SFN,Subtype_1.2,0.8,92.98226584
TP63,Subtype_1.2,0.8,93.69016205
COL12A1,Subtype_1.2,0.8,89.38220746
EPS8L2,Subtype_1.2,0.8,86.68423054
ERCC5,Subtype_1.2,0.8,80.34368668
SERPINE2,Subtype_1.2,0.8,96.37937101
TNNI1,Subtype_1.2,0.8,100
ASS1,Subtype_1.2,0.8,87.46324816
EMP1,Subtype_1.2,0.8,96.25869108
RXRA,Subtype_1.2,0.8,100
CALB2,Subtype_1.2,0.8,90.00084539
HR,Subtype_1.2,0.8,97.36059931
NOC4L,Subtype_1.2,0.8,96.86549447
PPIA,Subtype_1.2,0.8,83.22010793
PES1,Subtype_1.2,0.8,82.29845183
RAB40C,Subtype_1.2,0.8,83.11387527
SYT12,Subtype_1.2,0.8,83.53361626
EMP2,Subtype_1.2,0.8,87.71283415
SERPINA1,Subtype_1.2,0.8,94.08519987
MET,Subtype_1.2,1,81.24294214
BHLHE40,Subtype_1.2,0.9,88.72805439
TBC1D30,Subtype_1.2,1,90.02622524
AREG,Subtype_1.2,0.8,100
FBN1,Subtype_1.2,0.8,85.14637131
TCOF1,Subtype_1.2,0.8,85.21101979
LCP1,Subtype_1.2,0.8,82.93207708
RNF144B,Subtype_1.2,0.8,82.93207708
EREG,Subtype_1.2,0.8,91.76700047
APEX1,Subtype_1.2,0.8,98.96862621
DDIT4,Subtype_1.2,0.8,86.86853267
FOSB,Subtype_1.2,0.8,87.79716718
RANBP1,Subtype_1.2,0.8,100
RUVBL2,Subtype_1.2,0.8,86.86853267
ATP2B1,A443654,0.8,91.02800523
BARD1,A443654,0.8,89.84056672
DCXR,A443654,0.8,100
GCH1,A443654,0.8,89.84056672
MATN3,A443654,0.8,91.02800523
MID1,A443654,0.8,92.21544375
RARA,A443654,0.8,89.84056672
SERPINE1,A443654,0.8,84.2593433
ABI3BP,A443654,0.8,84.42261111
CAPZB,A443654,0.8,82.88445039
CD55,A443654,0.8,83.30678266
CDC42BPA,A443654,0.8,91.26057024
CDKN2A,A443654,0.8,92.68619167
CLASP1,A443654,0.8,92.19691499
DYNLL2,A443654,0.8,91.67788895
HDAC6,A443654,0.8,100
IGF1,A443654,0.8,92.68619167
INCENP,A443654,0.8,84.42261111
NAP1L1,A443654,0.8,91.67788895
NOTCH2,A443654,0.8,83.30678266
PLA2G4A,A443654,0.8,93.20521771
PRDX4,A443654,0.8,94.21352043
RAN,A443654,0.8,93.20521771
RBBP7,A443654,0.8,82.19095421
SMC1A,A443654,0.8,91.67788895
THSD4,A443654,0.8,91.67788895
ENTPD5,A443654,0.9,98.56872966
HUS1,A443654,0.9,100
PIF1,A443654,0.9,91.25708522
AKR1C2,A443654,0.8,88.42154424
LITAF,A443654,0.8,80.47575491
NR4A1,A443654,0.8,100
VCL,A443654,0.8,81.74763806
B4GALT1,A443654,0.8,86.24950022
CNTROB,A443654,0.8,85.04495398
OPN3,A443654,0.8,88.72150434
BIRC3,A443654,0.9,93.40134594
FGF2,A443654,0.9,84.59958655
ITGA2,A443654,0.9,83.21130019
MREG,A443654,0.9,95.46066715
PTGS2,A443654,0.9,100
ECH1,A443654,0.8,82.15900175
MSH2,A443654,0.8,81.05854692
MUC1,A443654,0.8,100
ARHGAP10,A443654,1,87.29358075
MAST4,A443654,1,87.29358075
MLPH,A443654,1,81.94132706
RHOT2,A443654,1,87.29358075
SLC6A8,A443654,1,81.94132706
SMAD3,A443654,1,91.26049216
B4GALT5,A443654,0.8,89.40367245
CYFIP2,A443654,0.8,91.76700047
AQP3,A443654,0.9,81.38403898
TPM1,A443654,0.9,80.97690746
CDCA3,A443654,0.9,84.4407899
PSME2,A443654,0.9,100
SLC2A3,A443654,0.9,92.47098408
THBS1,A443654,0.9,86.84477972
NFKBIA,A443654,0.8,84.44786969
PLAT,A443654,0.8,100
CAP2,A443654,0.8,89.40367245
PSIP1,A443654,0.8,90.58533646
SPP1,A443654,0.8,100
TBCD,A443654,0.8,100
ASB13,A443654,1,98.93771009
ATOX1,A443654,1,90.11839274
BLVRB,A443654,1,98.93771009
NEK2,A443654,1,99.00073335
PTGES,A443654,1,96.45153577
SEC14L2,A443654,1,100
DUSP4,A443654,0.9,93.0066006
FOSL2,A443654,0.9,99.56036245
CLU,A443654,0.8,80.6358642
GJA1,A443654,0.8,82.08518555
LLGL1,A443654,0.8,82.44599634
VWA5A,A443654,0.8,89.8602984
CKS2,A443654,0.8,83.77694842
MCCC2,A443654,0.8,100
CAB39L,A443654,1,87.23614121
CASP3,A443654,1,81.3998478
CYR61,A443654,1,87.23614121
SNAI2,A443654,1,100
CENPF,A443654,0.9,80.18164646
CTSL,A443654,0.9,91.42650373
EPB41L2,A443654,0.9,99.34359976
GCLC,A443654,0.9,100
IL1R1,A443654,0.9,82.3920957
RPA1,A443654,0.9,98.35899155
SERPINH1,A443654,0.9,82.3920957
STC2,A443654,0.9,82.3920957
LOXL1,A443654,1,86.25355359
POLD1,A443654,1,100
SPC24,A443654,1,86.25355359
DEPDC1,A443654,1,90.46493423
GCA,A443654,1,86.98463154
MAP7,A443654,1,80.66203333
XBP1,A443654,1,100
CKS1B,A443654,0.85,84.15701143
FSCN1,A443654,0.85,84.15701143
GNB4,A443654,0.85,92.07850572
TRIO,A443654,0.85,84.15701143
ARHGAP29,A443654,0.8,97.90906554
MYBBP1A,A443654,0.8,86.31181071
IGFBP3,A443654,0.8,100
TFPI2,A443654,0.8,80.63681204
DYRK2,A443654,0.9,92.18666374
GSR,A443654,0.9,89.24389292
TFAP2C,A443654,0.9,100
SECTM1,A443654,1,100
LIG1,A443654,1,80.04205693
CYTH2,A443654,0.8,98.32029595
F2RL1,A443654,0.9,84.31301645
CDC25B,A443654,0.95,81.38383761
TSKU,A443654,0.95,93.51146252
TSPAN1,A443654,0.95,82.93649103
SNX24,A443654,0.9,91.38980552
DNMT1,A443654,0.8,82.44420042
POLD2,A443654,0.8,98.60210802
SCNN1A,A443654,1,100
HES1,A443654,1,96.11407043
MAP3K11,A443654,1,82.72483335
VEGFA,A443654,1,96.11407043
ZC3H12A,A443654,1,96.11407043
KYNU,A443654,0.9,86.23423336
MATN2,A443654,0.9,100
SPINT2,A443654,1,86.09390525
ITGAV,A443654,0.95,92.41541291
GADD45B,A443654,1,85.93057563
NEDD9,A443654,1,82.22034515
SLC1A1,A443654,0.85,81.59419321
NCOA3,A443654,0.8,88.27005925
PDLIM5,A443654,0.8,95.42587067
SPC25,A443654,0.8,98.37342952
MAFF,A443654,0.8,86.2994452
MALL,A443654,0.8,85.82802622
TP53,A443654,0.8,84.91220888
CTSS,A443654,0.8,100
SDC4,A443654,0.8,93.3003519
MAP3K1,A443654,0.8,80.33534878
CDH13,A443654,0.95,85.5541474
ITGBL1,A443654,0.95,92.334829
RHOD,A443654,0.9,100
BMP1,A443654,0.8,91.71593057
F10,A443654,0.8,84.74510987
SSRP1,A443654,0.8,85.60976484
AKR1C3,A443654,0.9,85.55983163
NFIL3,A443654,0.9,87.82155021
AKT2,A443654,0.9,83.90954944
PSME1,A443654,0.9,91.33050911
RASAL2,A443654,0.9,84.51996955
CEP57,A443654,0.8,91.77767196
TUBGCP3,A443654,0.8,100
DDX60,A443654,0.8,83.67118577
IFIT2,A443654,0.8,98.52553286
RNF19B,A443654,0.8,91.85955574
TLK1,A443654,0.8,100
TRAFD1,A443654,0.8,91.45134685
GNMT,A443654,1,88.4323046
SH3BGRL2,Abemaciclib,1,100
ALDH2,Abemaciclib,0.916666667,87.22160621
TGFBI,Abemaciclib,0.916666667,86.51404016
TSPYL2,Abemaciclib,0.916666667,100
WNK4,Abemaciclib,0.916666667,92.65608284
CAT,Abemaciclib,1,98.6197101
CBLB,Abemaciclib,1,93.57464112
DHRS3,Abemaciclib,1,98.6197101
GCA,Abemaciclib,1,86.21475415
TIAM1,Abemaciclib,1,100
GADD45G,Abemaciclib,1,83.07262833
IFNGR1,Abemaciclib,1,100
MAP6,Abemaciclib,1,91.65481897
EDIL3,Abemaciclib,0.833333333,100
GALM,Abemaciclib,1,100
NFIL3,Abemaciclib,1,93.91566235
SPHK1,Abemaciclib,1,99.61134569
STC1,Abemaciclib,1,86.08291905
TRO,Abemaciclib,1,87.00210738
TSC1,Abemaciclib,1,94.02194485
ABCC2,Abemaciclib,1,96.11882944
AOX1,Abemaciclib,1,84.32366434
COCH,Abemaciclib,1,85.6381713
ELOVL5,Abemaciclib,1,85.07374607
SRC,Abemaciclib,1,89.93069172
ADAM9,Abemaciclib,0.916666667,81.64017608
CLDN3,Abemaciclib,0.916666667,80.8178603
LCAT,Abemaciclib,0.916666667,82.01733284
PRODH,Abemaciclib,0.916666667,100
GPRC5B,Abemaciclib,1,87.90608244
COL5A1,Abemaciclib,1,86.52895318
KYNU,Abemaciclib,0.833333333,100
SLC37A4,Abemaciclib,0.833333333,87.11457688
ANGPTL4,Abemaciclib,1,100
ETV1,Abemaciclib,1,80.73056718
SPON1,Abemaciclib,1,80.73056718
PHEX,Abemaciclib,1,82.06715612
SPP1,Abemaciclib,1,99.60398042
TFPI2,Abemaciclib,1,100
TUBG1,Abemaciclib,1,88.13096979
DNTTIP2,Abemaciclib,0.833333333,99.45615776
RNF4,Abemaciclib,0.833333333,94.87047885
TSTA3,Abemaciclib,0.833333333,100
CASP4,Abemaciclib,0.916666667,96.04167269
GAD1,Abemaciclib,0.916666667,100
AHR,Abemaciclib,0.916666667,100
KRT13,Abemaciclib,0.916666667,87.34156413
NMT1,Abemaciclib,0.916666667,85.94378908
TNFRSF21,Abemaciclib,0.916666667,92.82962857
DCBLD2,Abemaciclib,0.833333333,91.46384763
DNMBP,Abemaciclib,0.833333333,90.5460556
