ID,Description,Cell,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,A443654_S.R,142,0.635754434,2.589955582,0.001808318,0.016806723,0.011676249,1224,tags=47%, list=10%, signal=43%,IGFBP2/EDIL3/TPM1/TPM2/CDH2/BASP1/COL6A2/HTRA1/VIM/COL5A2/COL5A1/MYL9/FN1/ID2/TGFBI/PLOD2/NNMT/COL3A1/FSTL1/SERPINE1/WNT5A/PMP22/MATN2/SLIT2/ANPEP/FSTL3/APLP1/ITGAV/LAMC1/PTX3/SNTB1/DPYSL3/FERMT2/LOXL1/GADD45B/IGFBP4/SPARC/CAP2/SLC6A8/ENO2/QSOX1/DAB2/ITGA5/THBS1/DKK1/COL12A1/TAGLN/IL32/SNAI2/LOX/COL7A1/ADAM12/TIMP1/EFEMP2/FGF2/TGFBR3/SGCB/THBS2/TNFRSF11B/VCAN/PFN2/BMP1/MATN3/TGFB1/NOTCH2/LGALS1/BDNF
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,A443654_S.R,120,0.501966869,1.99911231,0.001841621,0.016806723,0.011676249,1938,tags=33%, list=15%, signal=28%,SDC2/EFEMP1/COL5A2/COL3A1/SERPINE1/PMP22/PLCB4/MAP1B/LAMC1/ATP2B4/PRKCA/PRKAR2B/CAP2/DAB2/PEX14/AKT3/SNAI2/LPAR1/CDC42BPA/FYN/TGFBR3/PTPRM/FZD2/MTA1/DLC1/ANXA4/SFMBT1/NRP1/NOTCH2/PPARG/BDNF/SMAD7/ABCC1/SYNJ2/ATRX/RBPMS/GCNT1/TFPI/SYNE1/CDK13
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,A443654_S.R,23,0.653272109,1.849909333,0.001912046,0.016806723,0.011676249,1180,tags=52%, list=9%, signal=47%,COL5A2/COL3A1/FSTL1/FGFR1/ITGAV/S100A4/VTN/PGLYRP1/TIMP1/VCAN/NRP1/APP
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,A443654_S.R,111,-0.391001746,-1.570094096,0.002173913,0.016806723,0.011676249,927,tags=22%, list=7%, signal=20%,PLAT/MALL/TRIB2/TNFAIP3/HBEGF/AKAP12/TSPAN1/BMP2/SEMA3B/ITGA2/F2RL1/PLAU/ANO1/EREG/ITGBL1/KLF4/PTGS2/MPZL2/GALNT3/ADAM8/JUP/MAP7/PLEK2/LCP1
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,A443654_S.R,149,-0.476150302,-1.999913148,0.002267574,0.016806723,0.011676249,719,tags=24%, list=6%, signal=23%,XBP1/CHPT1/GJB3/SLC27A2/MEST/KRT13/FOS/AGR2/FOXC1/SEMA3B/HOMER2/CD9/MDK/NRIP1/OPN3/PTPN6/SCNN1A/TRIM29/EMP2/KLF4/ST14/PERP/PKP3/HSPB8/MAPK13/LAMC2/BLVRB/ZFP36/KRT19/AREG/TFAP2C/SLC7A5/SFN/CDH1/ASS1/PTGES
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,A443654_S.R,159,-0.492017164,-2.078268485,0.002304147,0.016806723,0.011676249,1980,tags=35%, list=16%, signal=30%,SLC1A4/MYC/SIAH2/TPD52L1/ELF3/SLC37A1/KRT8/CELSR1/SEC14L2/TOB1/GJA1/MYBBP1A/FDFT1/TIAM1/SLC16A1/BAG1/MED13L/ELF1/BHLHE40/MAST4/ZNF185/THSD4/KAZN/KRT15/CALB2/ISG20L2/XBP1/CHPT1/SLC27A2/SLC19A2/KRT13/FOS/FOXC1/SEMA3B/SYT12/NRIP1/TSKU/OPN3/RHOD/MREG/SCNN1A/HES1/KLF4/P2RY2/HSPB8/BLVRB/KRT19/AREG/TFAP2C/SLC7A5/AQP3/SFN/CLDN7/RAB17/LAD1/PTGES
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,A443654_S.R,180,-0.419159993,-1.807180521,0.002352941,0.016806723,0.011676249,2493,tags=37%, list=20%, signal=30%,DDIT3/SEC61A1/BTG1/RNF19B/TCN2/RPL18/FOXO3/PROCR/LDHB/PPP1R15A/SLC3A2/CYFIP2/MDM2/CCND3/TPD52L1/PRKAB1/S100A10/RCHY1/TM7SF3/VWA5A/CASP1/ISCU/TOB1/JAG2/DCXR/BLCAP/DGKA/UPP1/RETSAT/SDC1/MXD1/GM2A/FAS/FAM162A/RB1/SERPINB5/VDR/HRAS/GPX2/NUDT15/VAMP8/WRAP73/HBEGF/EPS8L2/SLC19A2/TGFA/BMP2/FOS/CDKN1A/IFI30/RXRA/RRAD/ITGB4/ATF3/CD82/SAT1/DDIT4/KLF4/ST14/PERP/CEBPA/DEF6/SFN/TP63/IL1A/TNNI1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,A443654_S.R,167,-0.352650006,-1.500722046,0.004694836,0.029342723,0.020385471,2426,tags=35%, list=19%, signal=28%,BTG1/RNF19B/TNIP1/NR4A1/IRS2/NR4A3/KLF9/TNC/PPP1R15A/BIRC3/MYC/IL15RA/DUSP4/FOSL2/IFIH1/KLF6/NR4A2/IRF1/DUSP1/B4GALT5/GCH1/CXCL1/DUSP5/RIPK2/MXD1/BHLHE40/SDC4/ZC3H12A/TNFAIP8/LITAF/ATP2B1/MCL1/TNFAIP3/TRIP10/IL18/IL23A/HBEGF/BMP2/FOS/CDKN1A/ATF3/F2RL1/SAT1/FOSB/VEGFA/PLAU/EGR1/HES1/KLF4/PTGS2/KYNU/SERPINB2/F3/IFIT2/CXCL2/ZFP36/AREG/IL1A
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,A443654_S.R,22,0.597871944,1.675975035,0.009765625,0.054253472,0.037691886,1704,tags=45%, list=14%, signal=39%,CRMP1/NRP2/TLE1/DPYSL2/L1CAM/UNC5C/NRP1/LDB1/AMOT/RASA1
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,A443654_S.R,142,-0.348131948,-1.457252501,0.011135857,0.055679287,0.038682452,2025,tags=27%, list=16%, signal=23%,PNP/TNFSF10/PNPT1/HELZ2/KLRK1/IL15RA/IFIH1/DDX60/CASP1/EIF4E3/PSME2/IRF1/IRF5/PSME1/GCH1/RIPK2/APOL6/UPP1/OAS2/RIPK1/PLA2G4A/IFI35/IFIT3/FAS/TNFAIP3/VAMP8/OAS3/CDKN1A/IFI30/HERC6/VAMP5/PTPN6/IL4R/PTGS2/SECTM1/MT2A/IFIT2/FCGR1A/CASP4
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,A443654_S.R,192,-0.312725491,-1.35649077,0.014018692,0.060496068,0.042028847,4344,tags=42%, list=35%, signal=28%,HSP90AB1/HDAC2/PCBP1/DDX21/PSMC4/C1QBP/PSMB2/LDHA/CDK4/PSMB3/RPS2/KPNA2/RANBP1/PCNA/SNRPA/SMARCC1/USP1/PHB2/PGK1/RAN/RPL22/SERBP1/CNBP/HNRNPD/SRPK1/IFRD1/RPL6/PRDX4/PPM1G/XRCC6/EIF3J/TFDP1/EEF1B2/SF3B3/CUL1/DUT/NDUFAB1/G3BP1/EIF4E/RNPS1/NPM1/PA2G4/PSMD7/CCT7/NME1/MCM4/SET/GNL3/PRPF31/SNRPD1/RUVBL2/ODC1/RPLP0/CLNS1A/RPL18/NOP56/AP3S1/SF3A1/RPL14/PRDX3/SNRPG/NOLC1/MYC/CCT4/DEK/APEX1/PSMA7/UBA2/COX5A/RPS10/PSMA6/CCT2/GLO1/PSMA1/TCP1/PSMD8/SNRPA1/MAD2L1/U2AF1/EIF2S1
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,A443654_S.R,90,0.383212736,1.456000488,0.014519056,0.060496068,0.042028847,2011,tags=29%, list=16%, signal=24%,BCAT1/SRGN/CDKN2A/MMP9/TGFB2/ICAM1/HDAC9/F2/CSF1/RPL39/APBB1/DEGS1/TIMP1/DYRK3/HLA-A/IL7/TGFB1/ELF4/STAB1/B2M/IGSF6/GCNT1/HIF1A/ETS1/LIF/TRAF2
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,A443654_S.R,105,-0.354229514,-1.413966224,0.024122807,0.092780027,0.064457703,1683,tags=26%, list=13%, signal=22%,KLF6/SGMS2/ATP2A2/SLC7A1/IRF1/CD55/GCH1/SLC11A2/PSEN1/RIPK2/MXD1/ATP2B1/ADRM1/IL18/TNFSF15/HBEGF/GNA15/CDKN1A/CD82/IL4R/EREG/RNF144B/P2RY2/F3/KCNMB2/IL1A/CCR7
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,A443654_S.R,129,-0.337486883,-1.384471265,0.029147982,0.10359116,0.071968596,2023,tags=28%, list=16%, signal=24%,TNFSF10/PSEN2/BIRC3/LGALS3/MADD/WEE1/CAV1/TOP2A/CASP1/IRF1/GSR/GCH1/PSEN1/CTH/EBP/CASP6/RETSAT/PLAT/FAS/GPX3/MCL1/VDAC2/BCL2L1/IFNGR1/IL18/BCL10/ERBB3/BMP2/GNA15/CDKN1A/ATF3/SAT1/EREG/CASP4/IL1A/TIMP3
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,A443654_S.R,52,0.431132479,1.455665144,0.03250478,0.10359116,0.071968596,1679,tags=25%, list=13%, signal=22%,ID2/SERPINE1/RAB31/ID3/NOG/THBS1/ACVR1/SMURF2/SMAD1/TGFB1/SMAD7/TGIF1/HDAC1
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,A443654_S.R,121,0.329342725,1.313574847,0.033149171,0.10359116,0.071968596,3168,tags=44%, list=25%, signal=33%,TPM2/COL6A2/FHL1/COL3A1/NQO1/GADD45B/CKB/SPARC/CDH13/SLC6A8/CNN3/BIN1/PDE4DIP/PPP1R3C/TAGLN/ADAM12/FGF2/SSPN/FXYD1/TGFB1/DMPK/MRAS/APP/DTNA/TPM3/PGAM2/SPHK1/PDLIM7/ITGA7/MYO1C/HDAC5/NAV2/CHRNG/SORBS3/TSC2/ATP2A1/AGRN/LPIN1/COL1A1/SPEG/COL4A2/FOXO4/CRAT/ADCY9/KCNH1/ATP6AP1/MAPK12/SVIL/IGFBP7/AEBP1/SH3BGR/TEAD4/FDPS
HALLMARK_COAGULATION,HALLMARK_COAGULATION,A443654_S.R,82,0.359983594,1.348515848,0.045703839,0.134423056,0.09338865,1492,tags=26%, list=12%, signal=23%,HTRA1/C1S/FN1/SERPINE1/MMP9/DPP4/SPARC/F2/CRIP2/THBS1/TMPRSS6/GP1BA/CAPN5/KLF7/TIMP1/FYN/BMP1/PROS1/PEF1/MASP2/CAPN2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,A443654_S.R,182,-0.288404902,-1.241890557,0.056737589,0.157604413,0.109493592,2126,tags=25%, list=17%, signal=21%,LDHB/NDUFB8/PRDX3/NQO2/DLD/UQCRFS1/GPI/HADHA/COX7A2/MDH2/MTX2/NDUFB5/OGDH/ACAA1/NDUFS4/OAT/MRPL34/COX5A/SDHC/SUCLA2/ISCU/POLR2F/ETFA/NDUFB6/ACAT1/MTRR/MRPS30/COX7B/ABCB7/NDUFS6/MRPS12/RETSAT/NDUFA9/COX7C/SDHA/ECH1/TIMM50/UQCR10/SURF1/VDAC2/CYB5A/NDUFS7/COX17/NDUFA3/ISCA1/MPC1
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,A443654_S.R,189,-0.288721103,-1.24877052,0.067915691,0.169312169,0.117627402,3151,tags=31%, list=25%, signal=23%,IDH1/P4HA1/USO1/TRIB3/GTF2H1/TUBG1/AK4/NFKBIB/LTA4H/DHFR/NFIL3/ALDOA/HK2/SLC2A3/IDI1/DDIT3/MCM4/CYP51A1/PITPNB/TMEM97/PNO1/SLC37A4/ABCF2/PPP1R15A/PNP/SLC1A4/GPI/PSMG1/DDX39A/ATP2A2/SDF2L1/ASNS/GSR/UFM1/CTH/EBP/SCD/UNG/RRM2/TOMM40/POLR3G/HMGCS1/RDH11/BHLHE40/MTHFD2L/PSPH/FKBP2/XBP1/ACSL3/CDKN1A/NUFIP1/IFI30/CD9/STC1/CORO1A/DDIT4/SLC7A5/DAPP1
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,A443654_S.R,76,0.355493624,1.311137444,0.070500928,0.169312169,0.117627402,1567,tags=22%, list=12%, signal=20%,IGFBP2/MYOT/SLC6A14/EDN1/NPY4R/TGFB2/KCNE2/SYNPO/MAGIX/GP1BA/IDUA/TENM2/MAST3/MTHFR/HTR1D/IFI44L/AKR1B10
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,A443654_S.R,68,-0.360504246,-1.322953387,0.071111111,0.169312169,0.117627402,3230,tags=43%, list=26%, signal=32%,CTNNB1/PLAUR/PLSCR1/TRIB3/MVK/FBXO6/HSD17B7/NFIL3/IDI1/S100A11/CLU/ACSS2/CYP51A1/TMEM97/ALDOC/PDK3/LGALS3/ANTXR2/SREBF2/FDFT1/EBP/ERRFI1/SCD/HMGCS1/ECH1/SEMA3B/CD9/ATF3/MAL2
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,A443654_S.R,88,-0.327430416,-1.267679676,0.087527352,0.192041788,0.133418506,1851,tags=33%, list=15%, signal=28%,UBE2J1/XRCC6/SGK1/NGLY1/PA2G4/PDLIM5/SEC24D/IDI1/UBE2I/PTK2B/CCND3/INPP4B/KRT8/HERC3/SLC38A2/MAK/GSR/SCD/HMGCS1/TNFAIP8/ADRM1/PGM3/SMS/ACSL3/AKAP12/HOMER2/SAT1/KRT19/MAP7
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,A443654_S.R,135,0.306610498,1.248542549,0.088339223,0.192041788,0.133418506,2250,tags=33%, list=18%, signal=28%,ICAM2/MYL9/TGFBI/EPB41L2/SLIT2/MMP9/THBS3/ICAM1/SDC3/CDSN/SIRPA/NEGR1/FLNC/AKT3/CLDN14/TNFRSF11B/VCAN/NEXN/HADH/BMP1/DSC3/NLGN2/TAOK2/SRC/ITGA9/SHC1/RSU1/ACTB/PARVA/INPPL1/SGCE/RASA1/MVD/ITGA10/COL16A1/VCL/GNAI2/TSC1/MYH10/MPZL1/MAPK11/PARD6G/TSPAN4/GAMT/SORBS3
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,A443654_S.R,194,-0.276649908,-1.200509689,0.105140187,0.219042056,0.152176586,3223,tags=30%, list=26%, signal=23%,PRDX4/DIAPH3/TACC3/XRCC6/HMMR/MXD3/SMC4/TUBG1/SMC3/CDKN1B/DUT/PA2G4/PRKDC/NCAPD2/CDKN3/NME1/ANP32E/MCM4/KIF22/UBE2T/PPP1R8/PDS5B/TUBB/RFC3/CCNE1/NOP56/RAD1/NUDT21/NOLC1/ING3/MYC/KIF18B/RAD50/DEK/PTTG1/TIPIN/DDX39A/SUV39H1/WEE1/DCTPP1/TOP2A/GINS3/ASF1A/MCM3/UNG/RRM2/PSMC3IP/MYBL2/POLE4/EXOSC8/PRIM2/MAD2L1/TRIP13/BRCA2/BRMS1L/DCLRE1B/EIF2S1/CDKN1A/HMGA1
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,A443654_S.R,170,0.28276402,1.184683151,0.138543517,0.277087034,0.192502571,2099,tags=22%, list=17%, signal=18%,SDC2/COL5A1/TGFBI/PLOD2/GPC4/SAP30/SDC3/TSTA3/ENO2/QSOX1/FUT8/GMPPA/PGLS/CAPN5/B3GAT3/VCAN/B3GALT6/IDUA/SPAG4/PAM/HS2ST1/PYGL/G6PD/DEPDC1/PGAM2/TALDO1/RRAGD/GLRX/PLOD1/DPYSL4/SOD1/TPST1/P4HA2/GALK1/GNE/ANGPTL4/HDLBP
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,A443654_S.R,85,-0.309045324,-1.181804313,0.154867257,0.290498975,0.20182034,1500,tags=27%, list=12%, signal=24%,PTPN11/CAB39L/RAF1/YWHAB/TRIB3/NFKBIB/PRKAR2A/CDKN1B/EIF4E/EGFR/DDIT3/CFL1/MKNK1/PLCB1/PLA2G12A/TIAM1/ATF1/RIPK1/HRAS/RPS6KA1/CDKN1A/SFN/DAPP1
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,A443654_S.R,134,-0.287367669,-1.185312092,0.161363636,0.290498975,0.20182034,1982,tags=28%, list=16%, signal=24%,GART/MPP2/CYFIP2/RAP1GAP/XDH/COMT/DHRS7/PC/PPARD/ATP2A2/MCCC2/ABHD6/PTS/DCXR/GSR/GCH1/MTHFD1/CASP6/UPP1/BPHL/PTGR1/SLC46A3/RETSAT/ACP2/ALDH3A1/FAS/ECH1/ENTPD5/CYB5A/ALDH2/MAN1A1/KYNU/MT2A/AKR1C2/BLVRB/JUP/SPINT2/PTGES
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,A443654_S.R,185,-0.265630091,-1.142192006,0.162679426,0.290498975,0.20182034,3327,tags=30%, list=27%, signal=22%,HNRNPD/STIL/SLC38A1/POLQ/TACC3/KIF20B/PRPF4B/RPS6KA5/HMMR/SMC4/TFDP1/CUL1/CASP8AP2/CDKN1B/NUSAP1/ORC5/TOP1/G3BP1/FBXO5/HMGN2/CDKN3/CDC7/KIF22/KIF11/SNRPD1/PDS5B/RBM14/ODC1/MNAT1/NOLC1/KATNA1/MYC/ODF2/TPX2/E2F2/PTTG1/DDX39A/SUV39H1/DMD/EFNA5/TOP2A/SLC7A1/CHMP1A/MCM3/UBE2C/MYBL2/PRIM2/MAD2L1/FOXN3/BRCA2/RBL1/TTK/HMGA1/MT2A/SLC7A5
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,A443654_S.R,156,0.266646646,1.107781459,0.238178634,0.410652817,0.285295641,2099,tags=24%, list=17%, signal=21%,SDC2/COL5A1/TGFBI/GPC4/SERPINE1/CHST3/SAP30/S100A4/CA12/SDC3/PRKCA/ENO2/IGFBP1/PPP1R3C/LOX/ILVBL/HAS1/KLF7/B3GALT6/PAM/SRPX/HMOX1/DTNA/BCL2/PGAM2/RRAGD/GLRX/DPYSL4/GCNT2/ETS1/TPST2/P4HA2/GBE1/GALK1/PFKFB3/ANGPTL4/HK1/HDLBP
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,A443654_S.R,105,-0.279129172,-1.114190676,0.254385965,0.423976608,0.29455217,3044,tags=26%, list=24%, signal=20%,EIF4G1/TTC37/NFYA/EIF4E/NPM1/ERN1/EIF4A3/TATDN2/NOP56/DCP1A/NOLC1/SLC1A4/CEBPG/YIF1A/ATF4/ASNS/DNAJA4/ALDH18A1/PAIP1/XBP1/SRPRB/SDAD1/EIF2S1/ATF3/VEGFA/DDIT4/SLC7A5
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,A443654_S.R,74,-0.293103422,-1.096483932,0.292841649,0.47232524,0.328141745,2215,tags=31%, list=18%, signal=26%,PROCR/TRIM14/PNPT1/HELZ2/IFIH1/TMEM140/DDX60/CASP1/MOV10/PSME2/IRF1/PARP9/PSME1/RIPK2/NCOA7/ELF1/IFI35/IFIT3/SAMD9/IFI30/HERC6/IL4R/IFIT2
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,A443654_S.R,137,0.262031447,1.066958193,0.317939609,0.496780639,0.345131813,1004,tags=13%, list=8%, signal=12%,ZEB1/C1S/FN1/SERPINE1/DPP4/DOCK10/ANXA5/PRSS3/CDH13/F2/TIMP2/TMPRSS6/GP1BA/CPM/TIMP1/FYN/PDP1/CALM3
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,A443654_S.R,27,0.357899812,1.048679057,0.404580153,0.613000231,0.425873845,1180,tags=19%, list=9%, signal=17%,HSPB1/GSTM3/CD160/SRPX/APP
