Cell,Drug,norm.GR50,Class.KDE,SubMedianGR50,Class.MD,CCA.Subgroup,Organ.Subgroup
HuCCA-1,A443654,-0.604153762194815,Sensitive,-0.08471844,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,A443654,-0.834098938470215,Sensitive,-0.124859228,Sensitive,Subgroup 2,pancreas-like
HuH-28,A443654,-1.36914720094237,Sensitive,-0.218260878,Sensitive,Subgroup 2,liver-like
KKK-D068,A443654,0.233228869470625,Resistant,0.061460746,Resistant,Subgroup 2,liver-like
KKK-D131,A443654,0.160335508450483,Resistant,0.048735987,Resistant,Subgroup 2,pancreas-like
KKK-D138,A443654,-1.03124268974083,Sensitive,-0.159273977,Sensitive,Subgroup 1,liver-like
KKU-055,A443654,-1.02611507598594,Sensitive,-0.158378866,Sensitive,Subgroup 2,liver-like
KKU-100,A443654,1.55323302337877,Resistant,0.291889615,Resistant,Subgroup 2,liver-like
KKU-156,A443654,1.24547613322499,Resistant,0.238165487,Resistant,Subgroup 1,pancreas-like
KKU-213,A443654,-0.102121937004883,Resistant,0.002919637,Resistant,Subgroup 1,pancreas-like
KKU-214,A443654,-0.118846980983222,Resistant,0,Resistant,Subgroup 1,pancreas-like
RBE,A443654,-0.476198480234158,Sensitive,-0.062381699,Sensitive,Subgroup 1,liver-like
SSP-25,A443654,-0.495269795422819,Sensitive,-0.065710917,Sensitive,Subgroup 2,liver-like
TFK-1,A443654,1.04259213730452,Resistant,0.202748682,Resistant,Subgroup 2,pancreas-like
YSCCC,A443654,1.82232918914988,Resistant,0.338864865,Resistant,Subgroup 2,pancreas-like
HuCCA-1,Abemaciclib,0.388747638508419,Resistant,0.09970544,Resistant,Subgroup 1,pancreas-like
HuCCT-1,Abemaciclib,-0.795973734308842,Sensitive,-0.282196258,Sensitive,Subgroup 2,pancreas-like
HuH-28,Abemaciclib,0.0794450971142482,Resistant,0,Resistant,Subgroup 2,liver-like
KKK-D068,Abemaciclib,1.05306326586768,Resistant,0.313851375,Resistant,Subgroup 2,liver-like
KKK-D131,Abemaciclib,-0.947592448196887,Sensitive,-0.331071416,Sensitive,Subgroup 2,pancreas-like
KKK-D138,Abemaciclib,-1.31978275127612,Sensitive,-0.451049085,Sensitive,Subgroup 1,liver-like
KKU-055,Abemaciclib,2.20234002056883,Resistant,0.684327298,Resistant,Subgroup 2,liver-like
KKU-100,Abemaciclib,0.133087906972524,Resistant,0.017292066,Resistant,Subgroup 2,liver-like
KKU-156,Abemaciclib,-0.672085551485741,Sensitive,-0.242260195,Sensitive,Subgroup 1,pancreas-like
KKU-213,Abemaciclib,1.17145579605919,Resistant,0.352015883,Resistant,Subgroup 1,pancreas-like
KKU-214,Abemaciclib,0.465158802694055,Resistant,0.124337015,Resistant,Subgroup 1,pancreas-like
RBE,Abemaciclib,-1.50307614849582,Sensitive,-0.510134758,Sensitive,Subgroup 1,liver-like
SSP-25,Abemaciclib,-0.316358958690653,Sensitive,-0.127589697,Sensitive,Subgroup 2,liver-like
TFK-1,Abemaciclib,0.339556181489013,Resistant,0.083848293,Resistant,Subgroup 2,pancreas-like
YSCCC,Abemaciclib,-0.277985116819893,Sensitive,-0.11521967,Sensitive,Subgroup 2,pancreas-like
HuCCA-1,Afatinib,-2.75914576317636,Sensitive,-1.580546317,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,Afatinib,0.486008955120006,Resistant,0.099073049,Resistant,Subgroup 2,pancreas-like
HuH-28,Afatinib,-0.130561444560329,Sensitive,-0.220049974,Sensitive,Subgroup 2,liver-like
KKK-D068,Afatinib,0.331852119170178,Resistant,0.019284925,Resistant,Subgroup 2,liver-like
KKK-D131,Afatinib,0.718546875562628,Resistant,0.219429466,Resistant,Subgroup 2,pancreas-like
KKK-D138,Afatinib,0.275276002987701,Resistant,-0.009997605,Sensitive,Subgroup 1,liver-like
KKU-055,Afatinib,0.2945921502614,Resistant,0,Resistant,Subgroup 2,liver-like
KKU-100,Afatinib,0.818932767001573,Resistant,0.271386954,Resistant,Subgroup 2,liver-like
KKU-156,Afatinib,-0.0301529284943272,Sensitive,-0.168080776,Sensitive,Subgroup 1,pancreas-like
KKU-213,Afatinib,0.0957080167222393,Sensitive,-0.102937971,Sensitive,Subgroup 1,pancreas-like
KKU-214,Afatinib,-0.251354913830083,Sensitive,-0.282569967,Sensitive,Subgroup 1,pancreas-like
RBE,Afatinib,0.372555434595951,Resistant,0.040352049,Resistant,Subgroup 1,liver-like
SSP-25,Afatinib,0.487298953005981,Resistant,0.099740723,Resistant,Subgroup 2,liver-like
TFK-1,Afatinib,1.05464988805918,Resistant,0.393388854,Resistant,Subgroup 2,pancreas-like
YSCCC,Afatinib,-1.76420611242574,Sensitive,-1.065587848,Sensitive,Subgroup 2,pancreas-like
HuCCA-1,Azacitidine,-1.40180487882765,Sensitive,-0.424912112,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,Azacitidine,-0.10924315703792,Sensitive,-0.003815867,Sensitive,Subgroup 2,pancreas-like
HuH-28,Azacitidine,1.18464973409561,Resistant,0.417714052,Resistant,Subgroup 2,liver-like
KKK-D068,Azacitidine,0.930539889308525,Resistant,0.334929068,Resistant,Subgroup 2,liver-like
KKK-D131,Azacitidine,0.901638890759146,Resistant,0.325513578,Resistant,Subgroup 2,pancreas-like
KKK-D138,Azacitidine,-0.760434471778295,Sensitive,-0.215963738,Sensitive,Subgroup 1,liver-like
KKU-055,Azacitidine,0.2511373331303,Resistant,0.113590419,Resistant,Subgroup 2,liver-like
KKU-100,Azacitidine,1.09553033246276,Resistant,0.388680355,Resistant,Subgroup 2,liver-like
KKU-156,Azacitidine,-0.713564218776102,Sensitive,-0.200694148,Sensitive,Subgroup 1,pancreas-like
KKU-213,Azacitidine,-2.10962947853436,Sensitive,-0.655510215,Sensitive,Subgroup 1,pancreas-like
KKU-214,Azacitidine,-0.617170855819473,Sensitive,-0.169290709,Sensitive,Subgroup 1,pancreas-like
RBE,Azacitidine,-0.264100135950353,Sensitive,-0.054265831,Sensitive,Subgroup 1,liver-like
SSP-25,Azacitidine,0.525331574554027,Resistant,0.202918583,Resistant,Subgroup 2,liver-like
TFK-1,Azacitidine,-0.0975302916818291,Sensitive,0,Resistant,Subgroup 2,pancreas-like
YSCCC,Azacitidine,1.18464973409561,Resistant,0.417714052,Resistant,Subgroup 2,pancreas-like
HuCCA-1,AZD4547,0.715216982390191,Resistant,0.144342881,Resistant,Subgroup 1,pancreas-like
HuCCT-1,AZD4547,-0.126160219719074,Sensitive,-0.20764293,Sensitive,Subgroup 2,pancreas-like
HuH-28,AZD4547,-1.30918264206912,Sensitive,-0.702554256,Sensitive,Subgroup 2,liver-like
KKK-D068,AZD4547,0.115516283327707,Sensitive,-0.106538812,Sensitive,Subgroup 2,liver-like
KKK-D131,AZD4547,0.715216982390191,Resistant,0.144342881,Resistant,Subgroup 2,pancreas-like
KKK-D138,AZD4547,-1.8965069293658,Sensitive,-0.948258341,Sensitive,Subgroup 1,liver-like
KKU-055,AZD4547,-2.28391986123841,Sensitive,-1.110330542,Sensitive,Subgroup 2,liver-like
KKU-100,AZD4547,0.715216982390191,Resistant,0.144342881,Resistant,Subgroup 2,liver-like
KKU-156,AZD4547,0.370183729444178,Resistant,0,Resistant,Subgroup 1,pancreas-like
KKU-213,AZD4547,0.154949756440019,Sensitive,-0.090042022,Sensitive,Subgroup 1,pancreas-like
KKU-214,AZD4547,0.339733206856504,Resistant,-0.012738819,Sensitive,Subgroup 1,pancreas-like
RBE,AZD4547,0.685456988219209,Resistant,0.131892941,Resistant,Subgroup 1,liver-like
SSP-25,AZD4547,0.373844776153832,Resistant,0.00153158,Resistant,Subgroup 2,liver-like
TFK-1,AZD4547,0.715216982390191,Resistant,0.144342881,Resistant,Subgroup 2,pancreas-like
YSCCC,AZD4547,0.715216982390191,Resistant,0.144342881,Resistant,Subgroup 2,pancreas-like
HuCCA-1,AZD8055,-0.427472307148459,Sensitive,-0.04110633,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,AZD8055,-0.16160755272686,Resistant,0.020573001,Resistant,Subgroup 2,pancreas-like
HuH-28,AZD8055,2.36144828917682,Resistant,0.605909695,Resistant,Subgroup 2,liver-like
KKK-D068,AZD8055,0.832977742087238,Resistant,0.251311956,Resistant,Subgroup 2,liver-like
KKK-D131,AZD8055,-1.6894409269868,Sensitive,-0.333876917,Sensitive,Subgroup 2,pancreas-like
KKK-D138,AZD8055,-0.872143828592349,Sensitive,-0.144267962,Sensitive,Subgroup 1,liver-like
KKU-055,AZD8055,-0.35151378069816,Sensitive,-0.023484321,Sensitive,Subgroup 2,liver-like
KKU-100,AZD8055,-0.815996178327949,Sensitive,-0.13124198,Sensitive,Subgroup 2,liver-like
KKU-156,AZD8055,-0.706298871874579,Sensitive,-0.105792738,Sensitive,Subgroup 1,pancreas-like
KKU-213,AZD8055,0.875174255289177,Resistant,0.261101342,Resistant,Subgroup 1,pancreas-like
KKU-214,AZD8055,1.01507499182847,Resistant,0.293557633,Resistant,Subgroup 1,pancreas-like
RBE,AZD8055,0.393342429585239,Resistant,0.1493187,Resistant,Subgroup 1,liver-like
SSP-25,AZD8055,0.438472603376582,Resistant,0.159788681,Resistant,Subgroup 2,liver-like
TFK-1,AZD8055,-0.6417307262603,Sensitive,-0.090813242,Sensitive,Subgroup 2,pancreas-like
