"Gene","mean.CCA1","mean.CCA2","ratio","wilcox.pvalue","VIP.rf","Accuracy.rf","VIP.plsda","Accuracy.plsda","Drug"
"PHLDA3",5.11142819617582,3.23107259930605,1.58196018166649,0.00178984327862345,58.9113458888379,1,79.9809012085407,1,"Subtype_1.2"
"NOTCH1",1.8474153999477,0.74669627078248,2.47411895871899,0.00388498478046682,18.6897106109325,1,21.0134742693901,1,"Subtype_1.2"
"PUS1",3.84539236735024,2.65319735991563,1.44934275355698,0.00388498478046682,51.9694533762058,1,41.6037570731404,1,"Subtype_1.2"
"VEGFC",0.349097952936785,2.83786359206614,0.123014352738012,0.00511864380003799,31.7122186495177,1,83.2427362679289,1,"Subtype_1.2"
"FDXR",2.34976077879611,0.983432026999594,2.38934742237867,0.00561421354836533,54.863344051447,1,54.8777245197276,1,"Subtype_1.2"
"RRAD",3.60026914805943,0.988063441244663,3.64376314088109,0.00692751797722651,10.2491961414791,1,74.3346855105789,1,"Subtype_1.2"
"ITGB4",5.69896177141129,3.24366507827116,1.75695136023377,0.00800994232988003,19.3729903536978,1,83.7306148958333,1,"Subtype_1.2"
"NADSYN1",2.88933031615634,1.81178627541075,1.59474125362899,0.00800994232988003,16.2781350482315,1,30.9180828636735,1,"Subtype_1.2"
"NCBP1",5.60541529899625,5.08934021906084,1.10140314023468,0.00800994232988003,21.0725769407441,1,0,1,"Subtype_1.2"
"PHLDA2",4.23974269576631,2.84537337436622,1.49004792620957,0.00800994232988003,79.0996784565916,1,48.7444875698439,1,"Subtype_1.2"
"TUFM",6.32992632376025,5.31318986792586,1.19136083616588,0.00800994232988003,44.0916398713826,1,26.8307078657152,1,"Subtype_1.2"
"ELF3",4.58880916595372,2.2427115386225,2.04609870102698,0.0112106034364914,5.54662379421222,1,54.5487310608715,1,"Subtype_1.2"
"COX6C",4.92547893762447,4.06162595052536,1.21268649492142,0.0112833336286545,53.0546623794212,1,11.4767060387983,1,"Subtype_1.2"
"DCTPP1",5.32428855226709,4.1951960748637,1.26913938162952,0.0112833336286545,77.411575562701,1,36.0881227810819,1,"Subtype_1.2"
"KLF4",5.66410202620865,3.68694315944411,1.53625965502073,0.0112833336286545,18.8906752411576,1,52.0629708640612,1,"Subtype_1.2"
"SATB1",2.00409451480062,1.16302330396256,1.72317657606037,0.0112833336286545,36.4549839228296,1,8.69326665012759,1,"Subtype_1.2"
"KRT15",3.01151712623168,1.39891078973993,2.1527585235021,0.0153242888444142,16.7604501607717,1,31.2603684910446,1,"Subtype_1.2"
"ATF3",4.22466407768588,2.40133117137441,1.75930089445676,0.0156942952060346,49.6784565916399,1,47.6181671188316,1,"Subtype_1.2"
"CD9",6.72341134264824,4.48629296905782,1.49865632695411,0.0156942952060346,56.4911575562701,1,74.8013767356521,1,"Subtype_1.2"
"DUSP5",5.76724341541717,3.69436230673524,1.56109307549583,0.0156942952060346,19.1720257234727,1,75.3949050338757,1,"Subtype_1.2"
"IER2",5.62515629509307,4.52873601590678,1.2421029345352,0.0156942952060346,100,1,36.4277694509234,1,"Subtype_1.2"
"MYC",6.36104309014901,5.12060513073267,1.24224440817971,0.0156942952060346,52.6929260450161,1,26.7115083775,1,"Subtype_1.2"
"TNFAIP2",4.45392718572002,2.88309102299763,1.54484445693606,0.0156942952060346,31.3590950849793,1,38.0530296297535,1,"Subtype_1.2"
"FBLN1",1.53475504458882,3.19209924987803,0.480798034286517,0.021439629194863,22.7491961414791,1,71.9743503457136,1,"Subtype_1.2"
"ISCU",4.31471106667161,3.63853182000934,1.18583848654113,0.0215562667600163,16.3987138263666,1,7.77001108681127,1,"Subtype_1.2"
"JAG2",2.8124877049801,1.17840915439687,2.38668181971108,0.0215562667600163,22.2381717960496,1,43.1898487271104,1,"Subtype_1.2"
"RAD23B",6.0392296631043,5.23445878970413,1.15374481025299,0.0215562667600163,6.9935691318328,1,2.53388162330546,1,"Subtype_1.2"
"TP53",4.1037677163396,3.00640428566856,1.36500860376701,0.0215562667600163,23.5731511254019,1,38.8682884125376,1,"Subtype_1.2"
"TSPAN1",3.82861503408883,2.42981962897103,1.57567869994949,0.0215562667600163,4.13987138263666,1,23.3615344764505,1,"Subtype_1.2"
"BTG2",2.42455071178342,0.996998999173633,2.43184869171686,0.0286641785893853,19.5222783647221,1,44.6728087272512,1,"Subtype_1.2"
"FGFR3",2.06206279212862,0.972783586229383,2.11975491909912,0.0290951317901257,0,1,12.2320281199079,1,"Subtype_1.2"
"CAV1",7.56447258781582,5.04573965169384,1.49918012223965,0.029239238256099,23.3836701883326,1,100,1,"Subtype_1.2"
"COL12A1",2.48305140048384,4.2488285359382,0.584408473884332,0.029239238256099,19.975884244373,1,66.7160809877395,1,"Subtype_1.2"
"FOS",6.08276354963142,3.97520395307773,1.53017646929083,0.029239238256099,46.4831189710611,1,79.6646928888855,1,"Subtype_1.2"
"PTGER4",3.74697916499895,1.66272041467551,2.25352328144128,0.029239238256099,25.8038585209003,1,78.5635699716198,1,"Subtype_1.2"
"RALGDS",2.37770078014502,1.56430179545784,1.51997574064607,0.029239238256099,54.2202572347267,1,44.9203146917715,1,"Subtype_1.2"
"RHOD",3.42251322360428,1.72570177440177,1.98325879614439,0.029239238256099,11.3344051446945,1,39.0641936903623,1,"Subtype_1.2"
"UPP1",5.22885355533221,3.48173934478757,1.50179351109674,0.029239238256099,17.7250803858521,1,51.465619339207,1,"Subtype_1.2"
"IL4R",3.61451395518041,2.25200309583297,1.60502175235398,0.039170166029984,10.8520900321543,1,44.058663378084,1,"Subtype_1.2"
"ITGB2",3.46362486182105,1.87055330732225,1.85165792830536,0.039170166029984,19.3528938906752,1,58.8920886771192,1,"Subtype_1.2"
"LSM7",5.63697412953497,4.53936055608918,1.24179916089138,0.039170166029984,27.2508038585209,1,26.0988828262494,1,"Subtype_1.2"
