Gene,Hallmark.ID,Drug,NES,pvalue,p.adjust,qvalues
ACP1,HALLMARK_MYC_TARGETS_V1,Subtype_1.2,1.47063020408691,0.00443951165371809,0.0277469478357381,0.0210292657281383
AKAP12,HALLMARK_KRAS_SIGNALING_UP,Subtype_1.2,1.67861523005053,0.00120627261761158,0.0101010101010101,0.0076555023923445
ALDH3A2,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,1.89497011365161,0.0011441647597254,0.0101010101010101,0.0076555023923445
APEX1,HALLMARK_MYC_TARGETS_V1,Subtype_1.2,1.47063020408691,0.00443951165371809,0.0277469478357381,0.0210292657281383
AREG,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
AREG,HALLMARK_ESTROGEN_RESPONSE_EARLY,Subtype_1.2,1.67036556198079,0.00113765642775882,0.0101010101010101,0.0076555023923445
AREG,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,1.89497011365161,0.0011441647597254,0.0101010101010101,0.0076555023923445
ASS1,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,1.89497011365161,0.0011441647597254,0.0101010101010101,0.0076555023923445
ATF3,HALLMARK_P53_PATHWAY,Subtype_1.2,1.97761352192171,0.00111731843575419,0.0101010101010101,0.0076555023923445
ATF3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
BHLHE40,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
BHLHE40,HALLMARK_ESTROGEN_RESPONSE_EARLY,Subtype_1.2,1.67036556198079,0.00113765642775882,0.0101010101010101,0.0076555023923445
BTG2,HALLMARK_P53_PATHWAY,Subtype_1.2,1.97761352192171,0.00111731843575419,0.0101010101010101,0.0076555023923445
BTG2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
BTG2,HALLMARK_INFLAMMATORY_RESPONSE,Subtype_1.2,1.94131084916492,0.00121212121212121,0.0101010101010101,0.0076555023923445
CALB2,HALLMARK_ESTROGEN_RESPONSE_EARLY,Subtype_1.2,1.67036556198079,0.00113765642775882,0.0101010101010101,0.0076555023923445
CASP1,HALLMARK_P53_PATHWAY,Subtype_1.2,1.97761352192171,0.00111731843575419,0.0101010101010101,0.0076555023923445
CAV1,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,1.89497011365161,0.0011441647597254,0.0101010101010101,0.0076555023923445
CBX3,HALLMARK_MYC_TARGETS_V2,Subtype_1.2,1.66047301716383,0.00396825396825397,0.0277469478357381,0.0210292657281383
CBX3,HALLMARK_MYC_TARGETS_V1,Subtype_1.2,1.47063020408691,0.00443951165371809,0.0277469478357381,0.0210292657281383
CD9,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,1.89497011365161,0.0011441647597254,0.0101010101010101,0.0076555023923445
CDKN1A,HALLMARK_P53_PATHWAY,Subtype_1.2,1.97761352192171,0.00111731843575419,0.0101010101010101,0.0076555023923445
CDKN1A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
CDKN1A,HALLMARK_INFLAMMATORY_RESPONSE,Subtype_1.2,1.94131084916492,0.00121212121212121,0.0101010101010101,0.0076555023923445
COL12A1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Subtype_1.2,-2.3145974551038,0.00714285714285714,0.0396825396825397,0.0300751879699248
COL4A1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Subtype_1.2,-2.3145974551038,0.00714285714285714,0.0396825396825397,0.0300751879699248
COX6C,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,1.89497011365161,0.0011441647597254,0.0101010101010101,0.0076555023923445
CYC1,HALLMARK_MYC_TARGETS_V1,Subtype_1.2,1.47063020408691,0.00443951165371809,0.0277469478357381,0.0210292657281383
DCTPP1,HALLMARK_MYC_TARGETS_V2,Subtype_1.2,1.66047301716383,0.00396825396825397,0.0277469478357381,0.0210292657281383
DDIT4,HALLMARK_P53_PATHWAY,Subtype_1.2,1.97761352192171,0.00111731843575419,0.0101010101010101,0.0076555023923445
DHRS3,HALLMARK_ESTROGEN_RESPONSE_EARLY,Subtype_1.2,1.67036556198079,0.00113765642775882,0.0101010101010101,0.0076555023923445
DUSP1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
DUSP5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
EGR1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,1.94901961902941,0.00112994350282486,0.0101010101010101,0.0076555023923445
ELF3,HALLMARK_ESTROGEN_RESPONSE_EARLY,Subtype_1.2,1.67036556198079,0.00113765642775882,0.0101010101010101,0.0076555023923445
EMP1,HALLMARK_KRAS_SIGNALING_UP,Subtype_1.2,1.67861523005053,0.00120627261761158,0.0101010101010101,0.0076555023923445
EMP2,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,1.89497011365161,0.0011441647597254,0.0101010101010101,0.0076555023923445
EPS8L2,HALLMARK_P53_PATHWAY,Subtype_1.2,1.97761352192171,0.00111731843575419,0.0101010101010101,0.0076555023923445
ERCC5,HALLMARK_P53_PATHWAY,Subtype_1.2,1.97761352192171,0.00111731843575419,0.0101010101010101,0.0076555023923445
EREG,HALLMARK_KRAS_SIGNALING_UP,Subtype_1.2,1.67861523005053,0.00120627261761158,0.0101010101010101,0.0076555023923445
EREG,HALLMARK_INFLAMMATORY_RESPONSE,Subtype_1.2,1.94131084916492,0.00121212121212121,0.0101010101010101,0.0076555023923445
EXOSC7,HALLMARK_MYC_TARGETS_V1,Subtype_1.2,1.47063020408691,0.00443951165371809,0.0277469478357381,0.0210292657281383
