ID,Description,Cell,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge_1,leading_edge_2,leading_edge_3,core_enrichment
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Subtype_1.2,168,0.519147886,1.943023118,0.001128668,0.011890606,0.009262157,1910,tags=37%, list=15%, signal=32%,IL1A/IL1B/FOS/F3/SERPINB2/PTGER4/AREG/PLAU/IFIT2/BTG2/KLF4/ATF3/FJX1/G0S2/ZFP36/JUNB/EGR1/IRS2/DUSP1/GADD45A/CCL20/TNFAIP3/TNFAIP8/MYC/VEGFA/CXCL2/HES1/PHLDA2/TNFAIP2/FOSB/SPHK1/DUSP5/IER2/IFIH1/MXD1/LAMB3/HBEGF/SAT1/ICAM1/ETS2/PTGS2/CYR61/BMP2/IL15RA/BHLHE40/FOSL1/JAG1/CDKN1A/LDLR/GADD45B/PPP1R15A/FUT4/TRIP10/PHLDA1/IER5/SIK1/PANX1/F2RL1/SOCS3/TRIB1/SDC4/IRF1
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,Subtype_1.2,183,0.511087055,1.926567692,0.001131222,0.011890606,0.009262157,1775,tags=34%, list=14%, signal=30%,IL1A/KRT17/TP63/RRAD/SFN/FOS/ITGB4/SERPINB5/TNNI1/TGFA/JAG2/BTG2/KLF4/ATF3/UPP1/FDXR/CDKN2B/CDKN2A/EPHA2/DDIT4/DEF6/GADD45A/RRP8/MAPKAPK3/PERP/PHLDA3/CEBPA/BAK1/EPS8L2/NOTCH1/CASP1/SPHK1/STOM/MXD1/TM7SF3/HBEGF/SDC1/SAT1/HRAS/DGKA/GM2A/SLC3A2/INHBB/BMP2/RPL36/SLC19A2/RALGDS/VAMP8/CDKN1A/TP53/ISCU/PPP1R15A/RHBDF2/RAB40C/CD82/ERCC5/RXRA/MDM2/BLCAP/IER5/TOB1/RCHY1/RB1
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,Subtype_1.2,160,0.440638005,1.635963654,0.001148106,0.011890606,0.009262157,2054,tags=31%, list=16%, signal=27%,SFN/LAD1/FOS/SLC7A5/ELF3/AQP3/RHOD/AREG/HSPB8/KRT15/KRT13/KLF4/CLDN7/SCNN1A/P2RY2/SYT12/CALB2/MYC/FARP1/SEMA3B/HES1/FKBP4/SLC27A2/WWC1/IL17RB/ZNF185/FASN/NXT1/KAZN/INHBB/BHLHE40/SLC19A2/NADSYN1/KRT19/TSKU/NBL1/SYBU/DHRS3/DHCR7/TBC1D30/PMAIP1/CELSR2/KCNK5/TOB1/HR/RRP12/NRIP1/BLVRB/CHPT1/FOXC1
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,Subtype_1.2,150,0.502000378,1.854355419,0.001156069,0.011890606,0.009262157,2054,tags=35%, list=16%, signal=30%,SFN/CAV1/FOS/SLC7A5/PTPN6/AGR2/AREG/TRIM29/HSPB8/KRT13/NMU/CDH1/LAMC2/KLF4/CD9/ASS1/ZFP36/SERPINA1/SCNN1A/PERP/FARP1/SEMA3B/PKP3/FKBP4/GJB3/SLC27A2/IL17RB/CKB/NXT1/IMPA2/FGFR3/GINS2/KRT19/EMP2/NBL1/DHCR7/LLGL2/COX6C/MAPK13/ETFB/SORD/CELSR2/KCNK5/TOB1/HR/ST6GALNAC2/HPRT1/NRIP1/ALDH3A2/BLVRB/FABP5/CHPT1/FOXC1
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,Subtype_1.2,105,0.544226101,1.917740172,0.001189061,0.011890606,0.009262157,1224,tags=27%, list=10%, signal=24%,IL1A/IL1B/EREG/GNA15/F3/PTGER4/KCNMB2/CCR7/RNF144B/IL4R/BTG2/P2RY2/PCDH7/CCL20/LPAR1/MYC/ADM/SPHK1/MMP14/MXD1/HBEGF/ICAM1/IL15RA/MET/ADRM1/TNFSF15/CDKN1A/LDLR
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,Subtype_1.2,196,0.384585296,1.45609844,0.002254791,0.016886187,0.013153451,5107,tags=54%, list=40%, signal=33%,EIF2S1/MYC/TUFM/MRPL23/AP3S1/NOLC1/PSMA2/RPS6/RPS2/IARS/RRP9/RRM1/RPL6/RPLP0/MCM4/EXOSC7/LSM7/G3BP1/PHB/DEK/PSMA6/IMPDH2/HPRT1/RFC4/PPIA/RPS10/PHB2/MCM2/APEX1/SMARCC1/CCT7/ODC1/DDX21/SET/PSMB3/POLE3/KARS/CCT4/NAP1L1/PA2G4/FAM120A/GOT2/XPOT/MRPL9/EIF1AX/RPL18/PABPC4/ERH/CYC1/CBX3/HDGF/MCM7/NCBP1/PSMA1/RUVBL2/SF3B3/PPM1G/PSMD7/RAD23B/SLC25A3/COPS5/POLD2/RSL1D1/RPL34/CCT3/EEF1B2/SNRPA1/RPL14/RANBP1/RPS3/RPS5/ACP1/NCBP2/RPL22/SNRPD1/SNRPG/PRDX4/SSB/NPM1/NOP56/PSMC6/SNRPA/EIF4H/YWHAQ/SNRPD2/HSPE1/GNL3/PTGES3/EIF3B/PABPC1/PSMD14/MCM6/RNPS1/LDHA/DDX18/CAD/PSMC4/EIF4G2/HNRNPR/HNRNPU/U2AF1/DUT/TARDBP/HNRNPD/MCM5
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,Subtype_1.2,111,0.467297045,1.654476755,0.002364066,0.016886187,0.013153451,1975,tags=31%, list=16%, signal=26%,LCP1/IL1B/EREG/PLEK2/ANO1/PLAU/KLF4/G0S2/ITGB2/GALNT3/ADAM8/EMP1/ITGBL1/CCL20/TNFAIP3/MPZL2/SEMA3B/TSPAN1/HBEGF/AKAP12/PTGS2/BMP2/CBX8/PRKG2/SPP1/PPP1R15A/DUSP6/KCNN4/HKDC1/ZNF277/F2RL1/TRIB1/SATB1/HDAC9
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,Subtype_1.2,57,0.511941136,1.649528642,0.005082592,0.031766201,0.024744198,4503,tags=63%, list=35%, signal=41%,MYC/NOC4L/DCTPP1/SUPV3L1/NOLC1/BYSL/RRP9/PUS1/RCL1/TCOF1/MCM4/SORD/TBRG4/PHB/RRP12/LAS1L/HK2/PRMT3/UNG/PA2G4/WDR43/NIP7/PLK1/CBX3/NOP2/PPRC1/IMP4/FARSA/WDR74/NPM1/NOP56/MRTO4/RABEPK/HSPE1/GNL3/PES1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Subtype_1.2,144,-0.512470056,-2.300362547,0.007246377,0.040257649,0.03135859,1251,tags=40%, list=10%, signal=36%,IGFBP4/ENO2/LGALS1/PLOD2/TGFB1/PLOD3/COL3A1/SLIT2/COL7A1/PLOD1/PFN2/TGM2/TFPI2/TGFBI/TIMP1/TGFBR3/TNFRSF11B/IL15/FSTL3/TPM1/TAGLN/FBN1/MYL9/VIM/NNMT/LOX/ITGA5/ID2/ITGB5/CTHRC1/CDH2/GJA1/SNTB1/SGCB/DPYSL3/WNT5A/ITGAV/COL12A1/SERPINE2/COL4A1/FBLN1/PTX3/COL5A2/COL4A2/FERMT2/VEGFC/TIMP3/FN1/PMP22/FSTL1/IGFBP2/EDIL3/TPM2/PMEPA1/COL6A2/BASP1
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,Subtype_1.2,135,0.384985172,1.401936777,0.019883041,0.099415205,0.077439212,2014,tags=27%, list=16%, signal=23%,COL17A1/ITGB4/CDH3/DSC3/IRS1/CDH1/LAMC2/CLDN5/CLDN7/RAC2/SYK/LAMA3/LIMA1/GRB7/FSCN1/CALB2/MPZL2/LAMB3/HRAS/ICAM1/MVD/CDH4/HADH/GAMT/DLG1/MAPK13/SKAP2/ITGA3/CD274/PCDH1/SYMPK/SRC/CNN2/PARD6G/CLDN4/WASL
